name,epochs,temperature,alpha,gamma,objective
heur040_n_300_m_13358,100,100.0,0.92,0.7,6176
heur040_n_300_m_13358,100,100.0,0.92,0.9,6290
heur040_n_300_m_13358,100,100.0,0.95,0.7,6591
heur040_n_300_m_13358,100,100.0,0.95,0.9,6563
heur040_n_300_m_13358,100,1000.0,0.92,0.7,6583
heur040_n_300_m_13358,100,1000.0,0.92,0.9,6528
heur040_n_300_m_13358,100,1000.0,0.95,0.7,6245
heur040_n_300_m_13358,100,1000.0,0.95,0.9,6591
heur040_n_300_m_13358,100,10000.0,0.92,0.7,6523
heur040_n_300_m_13358,100,10000.0,0.92,0.9,6591
heur040_n_300_m_13358,100,10000.0,0.95,0.7,6591
heur040_n_300_m_13358,100,10000.0,0.95,0.9,6180
heur041_n_300_m_17492,100,100.0,0.92,0.7,7061
heur041_n_300_m_17492,100,100.0,0.92,0.9,7124
heur041_n_300_m_17492,100,100.0,0.95,0.7,7022
heur041_n_300_m_17492,100,100.0,0.95,0.9,7153
heur041_n_300_m_17492,100,1000.0,0.92,0.7,7276
heur041_n_300_m_17492,100,1000.0,0.92,0.9,7216
heur041_n_300_m_17492,100,1000.0,0.95,0.7,7115
heur041_n_300_m_17492,100,1000.0,0.95,0.9,7276
heur041_n_300_m_17492,100,10000.0,0.92,0.7,7153
heur041_n_300_m_17492,100,10000.0,0.92,0.9,7276
heur041_n_300_m_17492,100,10000.0,0.95,0.7,7218
heur041_n_300_m_17492,100,10000.0,0.95,0.9,7090
heur042_n_300_m_5764,100,100.0,0.92,0.7,1358
heur042_n_300_m_5764,100,100.0,0.92,0.9,1446
heur042_n_300_m_5764,100,100.0,0.95,0.7,1421
heur042_n_300_m_5764,100,100.0,0.95,0.9,1411
heur042_n_300_m_5764,100,1000.0,0.92,0.7,1411
heur042_n_300_m_5764,100,1000.0,0.92,0.9,1464
heur042_n_300_m_5764,100,1000.0,0.95,0.7,1464
heur042_n_300_m_5764,100,1000.0,0.95,0.9,1389
heur042_n_300_m_5764,100,10000.0,0.92,0.7,1415
heur042_n_300_m_5764,100,10000.0,0.92,0.9,1464
heur042_n_300_m_5764,100,10000.0,0.95,0.7,1464
heur042_n_300_m_5764,100,10000.0,0.95,0.9,1464
