name,epochs,temperature,alpha,gamma,objective
heur040_n_300_m_13358,100,100.0,0.92,0.7,6379
heur040_n_300_m_13358,100,100.0,0.92,0.9,6480
heur040_n_300_m_13358,100,100.0,0.95,0.7,6373
heur040_n_300_m_13358,100,100.0,0.95,0.9,6412
heur040_n_300_m_13358,100,1000.0,0.92,0.7,6629
heur040_n_300_m_13358,100,1000.0,0.92,0.9,6574
heur040_n_300_m_13358,100,1000.0,0.95,0.7,6413
heur040_n_300_m_13358,100,1000.0,0.95,0.9,6443
heur040_n_300_m_13358,100,10000.0,0.92,0.7,6469
heur040_n_300_m_13358,100,10000.0,0.92,0.9,6614
heur040_n_300_m_13358,100,10000.0,0.95,0.7,6249
heur040_n_300_m_13358,100,10000.0,0.95,0.9,6629
heur041_n_300_m_17492,100,100.0,0.92,0.7,7228
heur041_n_300_m_17492,100,100.0,0.92,0.9,7005
heur041_n_300_m_17492,100,100.0,0.95,0.7,7059
heur041_n_300_m_17492,100,100.0,0.95,0.9,7211
heur041_n_300_m_17492,100,1000.0,0.92,0.7,7121
heur041_n_300_m_17492,100,1000.0,0.92,0.9,7219
heur041_n_300_m_17492,100,1000.0,0.95,0.7,7228
heur041_n_300_m_17492,100,1000.0,0.95,0.9,7228
heur041_n_300_m_17492,100,10000.0,0.92,0.7,7161
heur041_n_300_m_17492,100,10000.0,0.92,0.9,7107
heur041_n_300_m_17492,100,10000.0,0.95,0.7,7228
heur041_n_300_m_17492,100,10000.0,0.95,0.9,7228
heur042_n_300_m_5764,100,100.0,0.92,0.7,1368
heur042_n_300_m_5764,100,100.0,0.92,0.9,1404
heur042_n_300_m_5764,100,100.0,0.95,0.7,1404
heur042_n_300_m_5764,100,100.0,0.95,0.9,1388
heur042_n_300_m_5764,100,1000.0,0.92,0.7,1404
heur042_n_300_m_5764,100,1000.0,0.92,0.9,1404
heur042_n_300_m_5764,100,1000.0,0.95,0.7,1404
heur042_n_300_m_5764,100,1000.0,0.95,0.9,1404
heur042_n_300_m_5764,100,10000.0,0.92,0.7,1381
heur042_n_300_m_5764,100,10000.0,0.92,0.9,1404
heur042_n_300_m_5764,100,10000.0,0.95,0.7,1404
heur042_n_300_m_5764,100,10000.0,0.95,0.9,1404
heur043_n_300_m_12914,100,100.0,0.92,0.7,18643
heur043_n_300_m_12914,100,100.0,0.92,0.9,18643
heur043_n_300_m_12914,100,100.0,0.95,0.7,18643
heur043_n_300_m_12914,100,100.0,0.95,0.9,18643
heur043_n_300_m_12914,100,1000.0,0.92,0.7,18643
heur043_n_300_m_12914,100,1000.0,0.92,0.9,18643
heur043_n_300_m_12914,100,1000.0,0.95,0.7,18643
heur043_n_300_m_12914,100,1000.0,0.95,0.9,18643
heur043_n_300_m_12914,100,10000.0,0.92,0.7,18643
heur043_n_300_m_12914,100,10000.0,0.92,0.9,18643
heur043_n_300_m_12914,100,10000.0,0.95,0.7,18643
heur043_n_300_m_12914,100,10000.0,0.95,0.9,18643
heur044_n_300_m_3234,100,100.0,0.92,0.7,3892
heur044_n_300_m_3234,100,100.0,0.92,0.9,3917
heur044_n_300_m_3234,100,100.0,0.95,0.7,3871
heur044_n_300_m_3234,100,100.0,0.95,0.9,3808
heur044_n_300_m_3234,100,1000.0,0.92,0.7,3917
heur044_n_300_m_3234,100,1000.0,0.92,0.9,3917
heur044_n_300_m_3234,100,1000.0,0.95,0.7,3917
heur044_n_300_m_3234,100,1000.0,0.95,0.9,3903
heur044_n_300_m_3234,100,10000.0,0.92,0.7,3917
heur044_n_300_m_3234,100,10000.0,0.92,0.9,3889
heur044_n_300_m_3234,100,10000.0,0.95,0.7,3804
heur044_n_300_m_3234,100,10000.0,0.95,0.9,3903
heur045_n_300_m_6293,100,100.0,0.92,0.7,9663
