name,epochs,temperature,alpha,gamma,objective
heur040_n_300_m_13358,100,100.0,0.92,0.7,6606
heur040_n_300_m_13358,100,100.0,0.92,0.9,6402
heur040_n_300_m_13358,100,100.0,0.95,0.7,6618
heur040_n_300_m_13358,100,100.0,0.95,0.9,6520
heur040_n_300_m_13358,100,1000.0,0.92,0.7,6618
heur040_n_300_m_13358,100,1000.0,0.92,0.9,6618
heur040_n_300_m_13358,100,1000.0,0.95,0.7,6618
heur040_n_300_m_13358,100,1000.0,0.95,0.9,6522
heur040_n_300_m_13358,100,10000.0,0.92,0.7,6538
heur040_n_300_m_13358,100,10000.0,0.92,0.9,6618
heur040_n_300_m_13358,100,10000.0,0.95,0.7,6618
heur040_n_300_m_13358,100,10000.0,0.95,0.9,6618
heur041_n_300_m_17492,100,100.0,0.92,0.7,7031
heur041_n_300_m_17492,100,100.0,0.92,0.9,6844
heur041_n_300_m_17492,100,100.0,0.95,0.7,6918
heur041_n_300_m_17492,100,100.0,0.95,0.9,7003
heur041_n_300_m_17492,100,1000.0,0.92,0.7,6916
heur041_n_300_m_17492,100,1000.0,0.92,0.9,6874
heur041_n_300_m_17492,100,1000.0,0.95,0.7,7051
heur041_n_300_m_17492,100,1000.0,0.95,0.9,7050
heur041_n_300_m_17492,100,10000.0,0.92,0.7,7049
heur041_n_300_m_17492,100,10000.0,0.92,0.9,7051
heur041_n_300_m_17492,100,10000.0,0.95,0.7,7051
heur041_n_300_m_17492,100,10000.0,0.95,0.9,7050
heur042_n_300_m_5764,100,100.0,0.92,0.7,1255
heur042_n_300_m_5764,100,100.0,0.92,0.9,1232
heur042_n_300_m_5764,100,100.0,0.95,0.7,1438
heur042_n_300_m_5764,100,100.0,0.95,0.9,1438
heur042_n_300_m_5764,100,1000.0,0.92,0.7,1438
heur042_n_300_m_5764,100,1000.0,0.92,0.9,1438
heur042_n_300_m_5764,100,1000.0,0.95,0.7,1438
heur042_n_300_m_5764,100,1000.0,0.95,0.9,1438
heur042_n_300_m_5764,100,10000.0,0.92,0.7,1438
heur042_n_300_m_5764,100,10000.0,0.92,0.9,1438
heur042_n_300_m_5764,100,10000.0,0.95,0.7,1438
heur042_n_300_m_5764,100,10000.0,0.95,0.9,1438
heur043_n_300_m_12914,100,100.0,0.92,0.7,17574
heur043_n_300_m_12914,100,100.0,0.92,0.9,17574
heur043_n_300_m_12914,100,100.0,0.95,0.7,17574
heur043_n_300_m_12914,100,100.0,0.95,0.9,17574
heur043_n_300_m_12914,100,1000.0,0.92,0.7,17574
heur043_n_300_m_12914,100,1000.0,0.92,0.9,17574
heur043_n_300_m_12914,100,1000.0,0.95,0.7,17574
heur043_n_300_m_12914,100,1000.0,0.95,0.9,17574
heur043_n_300_m_12914,100,10000.0,0.92,0.7,17574
heur043_n_300_m_12914,100,10000.0,0.92,0.9,17574
heur043_n_300_m_12914,100,10000.0,0.95,0.7,17574
heur043_n_300_m_12914,100,10000.0,0.95,0.9,17574
heur044_n_300_m_3234,100,100.0,0.92,0.7,3894
heur044_n_300_m_3234,100,100.0,0.92,0.9,3894
heur044_n_300_m_3234,100,100.0,0.95,0.7,3865
heur044_n_300_m_3234,100,100.0,0.95,0.9,3894
heur044_n_300_m_3234,100,1000.0,0.92,0.7,3894
heur044_n_300_m_3234,100,1000.0,0.92,0.9,3508
heur044_n_300_m_3234,100,1000.0,0.95,0.7,3894
heur044_n_300_m_3234,100,1000.0,0.95,0.9,3671
heur044_n_300_m_3234,100,10000.0,0.92,0.7,3894
heur044_n_300_m_3234,100,10000.0,0.92,0.9,3878
heur044_n_300_m_3234,100,10000.0,0.95,0.7,3894
heur044_n_300_m_3234,100,10000.0,0.95,0.9,3888
heur045_n_300_m_6293,100,100.0,0.92,0.7,9139
heur045_n_300_m_6293,100,100.0,0.92,0.9,9047
heur045_n_300_m_6293,100,100.0,0.95,0.7,9129
heur045_n_300_m_6293,100,100.0,0.95,0.9,9141
heur045_n_300_m_6293,100,1000.0,0.92,0.7,8940
heur045_n_300_m_6293,100,1000.0,0.92,0.9,9163
