name,epochs,temperature,alpha,gamma,objective
heur040_n_300_m_13358,100,100.0,0.92,0.7,6601
heur040_n_300_m_13358,100,100.0,0.92,0.9,6328
heur040_n_300_m_13358,100,100.0,0.95,0.7,6530
heur040_n_300_m_13358,100,100.0,0.95,0.9,6188
heur040_n_300_m_13358,100,1000.0,0.92,0.7,6601
heur040_n_300_m_13358,100,1000.0,0.92,0.9,6601
heur040_n_300_m_13358,100,1000.0,0.95,0.7,6601
heur040_n_300_m_13358,100,1000.0,0.95,0.9,6206
heur040_n_300_m_13358,100,10000.0,0.92,0.7,6601
heur040_n_300_m_13358,100,10000.0,0.92,0.9,6601
heur040_n_300_m_13358,100,10000.0,0.95,0.7,6561
heur040_n_300_m_13358,100,10000.0,0.95,0.9,6601
heur041_n_300_m_17492,100,100.0,0.92,0.7,6887
heur041_n_300_m_17492,100,100.0,0.92,0.9,7018
heur041_n_300_m_17492,100,100.0,0.95,0.7,6955
heur041_n_300_m_17492,100,100.0,0.95,0.9,6858
heur041_n_300_m_17492,100,1000.0,0.92,0.7,6957
heur041_n_300_m_17492,100,1000.0,0.92,0.9,7047
heur041_n_300_m_17492,100,1000.0,0.95,0.7,7047
heur041_n_300_m_17492,100,1000.0,0.95,0.9,7029
heur041_n_300_m_17492,100,10000.0,0.92,0.7,6974
heur041_n_300_m_17492,100,10000.0,0.92,0.9,7047
heur041_n_300_m_17492,100,10000.0,0.95,0.7,7024
heur041_n_300_m_17492,100,10000.0,0.95,0.9,7047
heur042_n_300_m_5764,100,100.0,0.92,0.7,1391
heur042_n_300_m_5764,100,100.0,0.92,0.9,1296
heur042_n_300_m_5764,100,100.0,0.95,0.7,1451
heur042_n_300_m_5764,100,100.0,0.95,0.9,1472
heur042_n_300_m_5764,100,1000.0,0.92,0.7,1378
heur042_n_300_m_5764,100,1000.0,0.92,0.9,1472
heur042_n_300_m_5764,100,1000.0,0.95,0.7,1472
heur042_n_300_m_5764,100,1000.0,0.95,0.9,1472
heur042_n_300_m_5764,100,10000.0,0.92,0.7,1358
heur042_n_300_m_5764,100,10000.0,0.92,0.9,1472
heur042_n_300_m_5764,100,10000.0,0.95,0.7,1472
