name,epochs,temperature,alpha,gamma,objective
heur040_n_300_m_13358,100,100.0,0.92,0.7,6609
heur040_n_300_m_13358,100,100.0,0.92,0.9,6223
heur040_n_300_m_13358,100,100.0,0.95,0.7,6346
heur040_n_300_m_13358,100,100.0,0.95,0.9,6289
heur040_n_300_m_13358,100,1000.0,0.92,0.7,6550
heur040_n_300_m_13358,100,1000.0,0.92,0.9,6636
heur040_n_300_m_13358,100,1000.0,0.95,0.7,6240
heur040_n_300_m_13358,100,1000.0,0.95,0.9,6636
heur040_n_300_m_13358,100,10000.0,0.92,0.7,6636
heur040_n_300_m_13358,100,10000.0,0.92,0.9,6150
heur040_n_300_m_13358,100,10000.0,0.95,0.7,6636
heur040_n_300_m_13358,100,10000.0,0.95,0.9,6636
heur041_n_300_m_17492,100,100.0,0.92,0.7,6908
heur041_n_300_m_17492,100,100.0,0.92,0.9,7046
heur041_n_300_m_17492,100,100.0,0.95,0.7,7020
heur041_n_300_m_17492,100,100.0,0.95,0.9,6927
heur041_n_300_m_17492,100,1000.0,0.92,0.7,7046
heur041_n_300_m_17492,100,1000.0,0.92,0.9,7046
heur041_n_300_m_17492,100,1000.0,0.95,0.7,7046
heur041_n_300_m_17492,100,1000.0,0.95,0.9,6938
heur041_n_300_m_17492,100,10000.0,0.92,0.7,6987
heur041_n_300_m_17492,100,10000.0,0.92,0.9,7046
heur041_n_300_m_17492,100,10000.0,0.95,0.7,7046
heur041_n_300_m_17492,100,10000.0,0.95,0.9,6863
heur042_n_300_m_5764,100,100.0,0.92,0.7,1573
heur042_n_300_m_5764,100,100.0,0.92,0.9,1573
heur042_n_300_m_5764,100,100.0,0.95,0.7,1539
heur042_n_300_m_5764,100,100.0,0.95,0.9,1475
heur042_n_300_m_5764,100,1000.0,0.92,0.7,1515
heur042_n_300_m_5764,100,1000.0,0.92,0.9,1573
heur042_n_300_m_5764,100,1000.0,0.95,0.7,1553
heur042_n_300_m_5764,100,1000.0,0.95,0.9,1459
heur042_n_300_m_5764,100,10000.0,0.92,0.7,1573
heur042_n_300_m_5764,100,10000.0,0.92,0.9,1551
heur042_n_300_m_5764,100,10000.0,0.95,0.7,1573
heur042_n_300_m_5764,100,10000.0,0.95,0.9,1573
heur043_n_300_m_12914,100,100.0,0.92,0.7,17555
heur043_n_300_m_12914,100,100.0,0.92,0.9,17555
heur043_n_300_m_12914,100,100.0,0.95,0.7,17554
heur043_n_300_m_12914,100,100.0,0.95,0.9,17555
heur043_n_300_m_12914,100,1000.0,0.92,0.7,17555
heur043_n_300_m_12914,100,1000.0,0.92,0.9,17546
heur043_n_300_m_12914,100,1000.0,0.95,0.7,17555
heur043_n_300_m_12914,100,1000.0,0.95,0.9,17555
heur043_n_300_m_12914,100,10000.0,0.92,0.7,17555
heur043_n_300_m_12914,100,10000.0,0.92,0.9,17555
heur043_n_300_m_12914,100,10000.0,0.95,0.7,17555
heur043_n_300_m_12914,100,10000.0,0.95,0.9,17555
heur044_n_300_m_3234,100,100.0,0.92,0.7,3858
heur044_n_300_m_3234,100,100.0,0.92,0.9,3803
heur044_n_300_m_3234,100,100.0,0.95,0.7,3723
heur044_n_300_m_3234,100,100.0,0.95,0.9,3948
heur044_n_300_m_3234,100,1000.0,0.92,0.7,3968
heur044_n_300_m_3234,100,1000.0,0.92,0.9,3951
heur044_n_300_m_3234,100,1000.0,0.95,0.7,3968
heur044_n_300_m_3234,100,1000.0,0.95,0.9,3704
heur044_n_300_m_3234,100,10000.0,0.92,0.7,3655
heur044_n_300_m_3234,100,10000.0,0.92,0.9,3958
heur044_n_300_m_3234,100,10000.0,0.95,0.7,3863
heur044_n_300_m_3234,100,10000.0,0.95,0.9,3968
heur045_n_300_m_6293,100,100.0,0.92,0.7,9472
heur045_n_300_m_6293,100,100.0,0.92,0.9,9492
heur045_n_300_m_6293,100,100.0,0.95,0.7,9492
heur045_n_300_m_6293,100,100.0,0.95,0.9,9476
heur045_n_300_m_6293,100,1000.0,0.92,0.7,9492
heur045_n_300_m_6293,100,1000.0,0.92,0.9,9492
heur045_n_300_m_6293,100,1000.0,0.95,0.7,9479
heur045_n_300_m_6293,100,1000.0,0.95,0.9,9491
heur045_n_300_m_6293,100,10000.0,0.92,0.7,9435
heur045_n_300_m_6293,100,10000.0,0.92,0.9,9408
heur045_n_300_m_6293,100,10000.0,0.95,0.7,9492
heur045_n_300_m_6293,100,10000.0,0.95,0.9,9492
heur046_n_300_m_13150,100,100.0,0.92,0.7,23982
heur046_n_300_m_13150,100,100.0,0.92,0.9,23982
heur046_n_300_m_13150,100,100.0,0.95,0.7,23982
heur046_n_300_m_13150,100,100.0,0.95,0.9,23982
heur046_n_300_m_13150,100,1000.0,0.92,0.7,23982
heur046_n_300_m_13150,100,1000.0,0.92,0.9,23982
heur046_n_300_m_13150,100,1000.0,0.95,0.7,23977
heur046_n_300_m_13150,100,1000.0,0.95,0.9,23982
heur046_n_300_m_13150,100,10000.0,0.92,0.7,23982
heur046_n_300_m_13150,100,10000.0,0.92,0.9,21586
heur046_n_300_m_13150,100,10000.0,0.95,0.7,23982
heur046_n_300_m_13150,100,10000.0,0.95,0.9,23666
heur047_n_300_m_20096,100,100.0,0.92,0.7,25783
heur047_n_300_m_20096,100,100.0,0.92,0.9,25624
heur047_n_300_m_20096,100,100.0,0.95,0.7,25232
heur047_n_300_m_20096,100,100.0,0.95,0.9,25890
heur047_n_300_m_20096,100,1000.0,0.92,0.7,25965
heur047_n_300_m_20096,100,1000.0,0.92,0.9,25508
heur047_n_300_m_20096,100,1000.0,0.95,0.7,25965
heur047_n_300_m_20096,100,1000.0,0.95,0.9,25965
heur047_n_300_m_20096,100,10000.0,0.92,0.7,25965
heur047_n_300_m_20096,100,10000.0,0.92,0.9,25172
heur047_n_300_m_20096,100,10000.0,0.95,0.7,25919
heur047_n_300_m_20096,100,10000.0,0.95,0.9,25965
heur048_n_300_m_14666,100,100.0,0.92,0.7,31942
heur048_n_300_m_14666,100,100.0,0.92,0.9,31813
heur048_n_300_m_14666,100,100.0,0.95,0.7,31861
heur048_n_300_m_14666,100,100.0,0.95,0.9,31942
heur048_n_300_m_14666,100,1000.0,0.92,0.7,31942
heur048_n_300_m_14666,100,1000.0,0.92,0.9,31942
heur048_n_300_m_14666,100,1000.0,0.95,0.7,31942
heur048_n_300_m_14666,100,1000.0,0.95,0.9,31942
heur048_n_300_m_14666,100,10000.0,0.92,0.7,31942
heur048_n_300_m_14666,100,10000.0,0.92,0.9,31942
heur048_n_300_m_14666,100,10000.0,0.95,0.7,31942
heur048_n_300_m_14666,100,10000.0,0.95,0.9,31942
heur052_n_300_m_26628,100,100.0,0.92,0.7,41486
heur052_n_300_m_26628,100,100.0,0.92,0.9,42194
heur052_n_300_m_26628,100,100.0,0.95,0.7,41991
heur052_n_300_m_26628,100,100.0,0.95,0.9,42471
heur052_n_300_m_26628,100,1000.0,0.92,0.7,42148
heur052_n_300_m_26628,100,1000.0,0.92,0.9,41500
heur052_n_300_m_26628,100,1000.0,0.95,0.7,41719
heur052_n_300_m_26628,100,1000.0,0.95,0.9,42204
heur052_n_300_m_26628,100,10000.0,0.92,0.7,38562
heur052_n_300_m_26628,100,10000.0,0.92,0.9,38557
heur052_n_300_m_26628,100,10000.0,0.95,0.7,38558
heur052_n_300_m_26628,100,10000.0,0.95,0.9,38529
heur053_n_300_m_39861,100,100.0,0.92,0.7,11306
heur053_n_300_m_39861,100,100.0,0.92,0.9,11678
heur053_n_300_m_39861,100,100.0,0.95,0.7,11776
heur053_n_300_m_39861,100,100.0,0.95,0.9,11314
heur053_n_300_m_39861,100,1000.0,0.92,0.7,11303
heur053_n_300_m_39861,100,1000.0,0.92,0.9,11313
heur053_n_300_m_39861,100,1000.0,0.95,0.7,11297
heur053_n_300_m_39861,100,1000.0,0.95,0.9,11285
heur053_n_300_m_39861,100,10000.0,0.92,0.7,11273
