name,epochs,temperature,alpha,gamma,objective
heur040_n_300_m_13358,100,100.0,0.92,0.7,6424
heur040_n_300_m_13358,100,100.0,0.92,0.9,6142
heur040_n_300_m_13358,100,100.0,0.95,0.7,6556
heur040_n_300_m_13358,100,100.0,0.95,0.9,6462
heur040_n_300_m_13358,100,1000.0,0.92,0.7,6590
heur040_n_300_m_13358,100,1000.0,0.92,0.9,6557
heur040_n_300_m_13358,100,1000.0,0.95,0.7,6337
heur040_n_300_m_13358,100,1000.0,0.95,0.9,6579
heur040_n_300_m_13358,100,10000.0,0.92,0.7,6296
heur040_n_300_m_13358,100,10000.0,0.92,0.9,6590
heur040_n_300_m_13358,100,10000.0,0.95,0.7,6590
heur040_n_300_m_13358,100,10000.0,0.95,0.9,6590
heur041_n_300_m_17492,100,100.0,0.92,0.7,7160
heur041_n_300_m_17492,100,100.0,0.92,0.9,6939
heur041_n_300_m_17492,100,100.0,0.95,0.7,7087
heur041_n_300_m_17492,100,100.0,0.95,0.9,7216
heur041_n_300_m_17492,100,1000.0,0.92,0.7,7121
heur041_n_300_m_17492,100,1000.0,0.92,0.9,7102
heur041_n_300_m_17492,100,1000.0,0.95,0.7,7216
heur041_n_300_m_17492,100,1000.0,0.95,0.9,7216
heur041_n_300_m_17492,100,10000.0,0.92,0.7,7213
heur041_n_300_m_17492,100,10000.0,0.92,0.9,7216
heur041_n_300_m_17492,100,10000.0,0.95,0.7,7216
heur041_n_300_m_17492,100,10000.0,0.95,0.9,7075
heur042_n_300_m_5764,100,100.0,0.92,0.7,1443
heur042_n_300_m_5764,100,100.0,0.92,0.9,1438
heur042_n_300_m_5764,100,100.0,0.95,0.7,1334
heur042_n_300_m_5764,100,100.0,0.95,0.9,1443
heur042_n_300_m_5764,100,1000.0,0.92,0.7,1433
heur042_n_300_m_5764,100,1000.0,0.92,0.9,1443
heur042_n_300_m_5764,100,1000.0,0.95,0.7,1443
heur042_n_300_m_5764,100,1000.0,0.95,0.9,1443
heur042_n_300_m_5764,100,10000.0,0.92,0.7,1436
heur042_n_300_m_5764,100,10000.0,0.92,0.9,1443
heur042_n_300_m_5764,100,10000.0,0.95,0.7,1443
heur042_n_300_m_5764,100,10000.0,0.95,0.9,1443
heur043_n_300_m_12914,100,100.0,0.92,0.7,17589
heur043_n_300_m_12914,100,100.0,0.92,0.9,17577
heur043_n_300_m_12914,100,100.0,0.95,0.7,17589
heur043_n_300_m_12914,100,100.0,0.95,0.9,17589
heur043_n_300_m_12914,100,1000.0,0.92,0.7,17589
heur043_n_300_m_12914,100,1000.0,0.92,0.9,17589
heur043_n_300_m_12914,100,1000.0,0.95,0.7,17589
heur043_n_300_m_12914,100,1000.0,0.95,0.9,17589
heur043_n_300_m_12914,100,10000.0,0.92,0.7,17589
heur043_n_300_m_12914,100,10000.0,0.92,0.9,17577
heur043_n_300_m_12914,100,10000.0,0.95,0.7,17589
heur043_n_300_m_12914,100,10000.0,0.95,0.9,17589
heur044_n_300_m_3234,100,100.0,0.92,0.7,3943
heur044_n_300_m_3234,100,100.0,0.92,0.9,3699
heur044_n_300_m_3234,100,100.0,0.95,0.7,3943
heur044_n_300_m_3234,100,100.0,0.95,0.9,3733
heur044_n_300_m_3234,100,1000.0,0.92,0.7,3928
heur044_n_300_m_3234,100,1000.0,0.92,0.9,3713
heur044_n_300_m_3234,100,1000.0,0.95,0.7,3943
heur044_n_300_m_3234,100,1000.0,0.95,0.9,3943
heur044_n_300_m_3234,100,10000.0,0.92,0.7,3943
heur044_n_300_m_3234,100,10000.0,0.92,0.9,3943
heur044_n_300_m_3234,100,10000.0,0.95,0.7,3914
heur044_n_300_m_3234,100,10000.0,0.95,0.9,3668
heur045_n_300_m_6293,100,100.0,0.92,0.7,9508
heur045_n_300_m_6293,100,100.0,0.92,0.9,9508
heur045_n_300_m_6293,100,100.0,0.95,0.7,9508
heur045_n_300_m_6293,100,100.0,0.95,0.9,9495
