name,epochs,temperature,alpha,gamma,objective
heur040_n_300_m_13358,100,100.0,0.92,0.7,6388
heur040_n_300_m_13358,100,100.0,0.92,0.9,6314
heur040_n_300_m_13358,100,100.0,0.95,0.7,6388
heur040_n_300_m_13358,100,100.0,0.95,0.9,6388
heur040_n_300_m_13358,100,1000.0,0.92,0.7,6388
heur040_n_300_m_13358,100,1000.0,0.92,0.9,5981
heur040_n_300_m_13358,100,1000.0,0.95,0.7,6378
heur040_n_300_m_13358,100,1000.0,0.95,0.9,6388
heur040_n_300_m_13358,100,10000.0,0.92,0.7,6388
heur040_n_300_m_13358,100,10000.0,0.92,0.9,6102
heur040_n_300_m_13358,100,10000.0,0.95,0.7,5946
heur040_n_300_m_13358,100,10000.0,0.95,0.9,6351
heur041_n_300_m_17492,100,100.0,0.92,0.7,6941
heur041_n_300_m_17492,100,100.0,0.92,0.9,6868
heur041_n_300_m_17492,100,100.0,0.95,0.7,6999
heur041_n_300_m_17492,100,100.0,0.95,0.9,6896
heur041_n_300_m_17492,100,1000.0,0.92,0.7,6962
heur041_n_300_m_17492,100,1000.0,0.92,0.9,7043
heur041_n_300_m_17492,100,1000.0,0.95,0.7,7043
heur041_n_300_m_17492,100,1000.0,0.95,0.9,7043
heur041_n_300_m_17492,100,10000.0,0.92,0.7,6972
heur041_n_300_m_17492,100,10000.0,0.92,0.9,7043
heur041_n_300_m_17492,100,10000.0,0.95,0.7,6918
heur041_n_300_m_17492,100,10000.0,0.95,0.9,7043
heur042_n_300_m_5764,100,100.0,0.92,0.7,1381
heur042_n_300_m_5764,100,100.0,0.92,0.9,1382
heur042_n_300_m_5764,100,100.0,0.95,0.7,1382
heur042_n_300_m_5764,100,100.0,0.95,0.9,1382
heur042_n_300_m_5764,100,1000.0,0.92,0.7,1382
heur042_n_300_m_5764,100,1000.0,0.92,0.9,1382
heur042_n_300_m_5764,100,1000.0,0.95,0.7,1382
heur042_n_300_m_5764,100,1000.0,0.95,0.9,1382
heur042_n_300_m_5764,100,10000.0,0.92,0.7,1382
heur042_n_300_m_5764,100,10000.0,0.92,0.9,1382
heur042_n_300_m_5764,100,10000.0,0.95,0.7,1371
heur042_n_300_m_5764,100,10000.0,0.95,0.9,1382
heur043_n_300_m_12914,100,100.0,0.92,0.7,17659
heur043_n_300_m_12914,100,100.0,0.92,0.9,17659
heur043_n_300_m_12914,100,100.0,0.95,0.7,17659
heur043_n_300_m_12914,100,100.0,0.95,0.9,17659
heur043_n_300_m_12914,100,1000.0,0.92,0.7,17659
heur043_n_300_m_12914,100,1000.0,0.92,0.9,17659
heur043_n_300_m_12914,100,1000.0,0.95,0.7,17659
heur043_n_300_m_12914,100,1000.0,0.95,0.9,17659
heur043_n_300_m_12914,100,10000.0,0.92,0.7,17659
heur043_n_300_m_12914,100,10000.0,0.92,0.9,17659
heur043_n_300_m_12914,100,10000.0,0.95,0.7,17656
heur043_n_300_m_12914,100,10000.0,0.95,0.9,17659
heur044_n_300_m_3234,100,100.0,0.92,0.7,3743
heur044_n_300_m_3234,100,100.0,0.92,0.9,4015
heur044_n_300_m_3234,100,100.0,0.95,0.7,3946
heur044_n_300_m_3234,100,100.0,0.95,0.9,4036
heur044_n_300_m_3234,100,1000.0,0.92,0.7,4006
heur044_n_300_m_3234,100,1000.0,0.92,0.9,4036
heur044_n_300_m_3234,100,1000.0,0.95,0.7,4036
heur044_n_300_m_3234,100,1000.0,0.95,0.9,4036
heur044_n_300_m_3234,100,10000.0,0.92,0.7,4020
heur044_n_300_m_3234,100,10000.0,0.92,0.9,3937
heur044_n_300_m_3234,100,10000.0,0.95,0.7,4036
heur044_n_300_m_3234,100,10000.0,0.95,0.9,4036
heur045_n_300_m_6293,100,100.0,0.92,0.7,9637
heur045_n_300_m_6293,100,100.0,0.92,0.9,9383
heur045_n_300_m_6293,100,100.0,0.95,0.7,9637
heur045_n_300_m_6293,100,100.0,0.95,0.9,9591
heur045_n_300_m_6293,100,1000.0,0.92,0.7,9637
heur045_n_300_m_6293,100,1000.0,0.92,0.9,9637
heur045_n_300_m_6293,100,1000.0,0.95,0.7,9637
heur045_n_300_m_6293,100,1000.0,0.95,0.9,9637
heur045_n_300_m_6293,100,10000.0,0.92,0.7,9637
heur045_n_300_m_6293,100,10000.0,0.92,0.9,9443
heur045_n_300_m_6293,100,10000.0,0.95,0.7,9637
heur045_n_300_m_6293,100,10000.0,0.95,0.9,9579
heur046_n_300_m_13150,100,100.0,0.92,0.7,20852
heur046_n_300_m_13150,100,100.0,0.92,0.9,20852
heur046_n_300_m_13150,100,100.0,0.95,0.7,20849
heur046_n_300_m_13150,100,100.0,0.95,0.9,20852
heur046_n_300_m_13150,100,1000.0,0.92,0.7,20851
heur046_n_300_m_13150,100,1000.0,0.92,0.9,20851
heur046_n_300_m_13150,100,1000.0,0.95,0.7,20852
heur046_n_300_m_13150,100,1000.0,0.95,0.9,20852
heur046_n_300_m_13150,100,10000.0,0.92,0.7,20852
heur046_n_300_m_13150,100,10000.0,0.92,0.9,20852
heur046_n_300_m_13150,100,10000.0,0.95,0.7,20851
heur046_n_300_m_13150,100,10000.0,0.95,0.9,20852
heur047_n_300_m_20096,100,100.0,0.92,0.7,26029
heur047_n_300_m_20096,100,100.0,0.92,0.9,25996
heur047_n_300_m_20096,100,100.0,0.95,0.7,25152
