name,epochs,temperature,alpha,gamma,objective
heur047_n_300_m_20096,100,1000.0,0.95,0.7,25951
heur047_n_300_m_20096,100,1000.0,0.95,0.9,25918
heur047_n_300_m_20096,100,10000.0,0.92,0.7,25909
heur047_n_300_m_20096,100,10000.0,0.92,0.9,24932
heur047_n_300_m_20096,100,10000.0,0.95,0.7,25958
heur047_n_300_m_20096,100,10000.0,0.95,0.9,25958
heur048_n_300_m_14666,100,100.0,0.92,0.7,32619
heur048_n_300_m_14666,100,100.0,0.92,0.9,32619
heur048_n_300_m_14666,100,100.0,0.95,0.7,32619
heur048_n_300_m_14666,100,100.0,0.95,0.9,32619
heur048_n_300_m_14666,100,1000.0,0.92,0.7,32619
heur048_n_300_m_14666,100,1000.0,0.92,0.9,32619
heur048_n_300_m_14666,100,1000.0,0.95,0.7,32619
heur048_n_300_m_14666,100,1000.0,0.95,0.9,32619
heur048_n_300_m_14666,100,10000.0,0.92,0.7,31918
heur048_n_300_m_14666,100,10000.0,0.92,0.9,32619
heur048_n_300_m_14666,100,10000.0,0.95,0.7,32619
heur048_n_300_m_14666,100,10000.0,0.95,0.9,32186
heur052_n_300_m_26628,100,100.0,0.92,0.7,38309
heur052_n_300_m_26628,100,100.0,0.92,0.9,38371
heur052_n_300_m_26628,100,100.0,0.95,0.7,38951
heur052_n_300_m_26628,100,100.0,0.95,0.9,38624
heur052_n_300_m_26628,100,1000.0,0.92,0.7,39449
heur052_n_300_m_26628,100,1000.0,0.92,0.9,38973
heur052_n_300_m_26628,100,1000.0,0.95,0.7,38920
heur052_n_300_m_26628,100,1000.0,0.95,0.9,38489
heur052_n_300_m_26628,100,10000.0,0.92,0.7,38563
heur052_n_300_m_26628,100,10000.0,0.92,0.9,38567
heur052_n_300_m_26628,100,10000.0,0.95,0.7,38539
heur052_n_300_m_26628,100,10000.0,0.95,0.9,38544
heur053_n_300_m_39861,100,100.0,0.92,0.7,11335
heur053_n_300_m_39861,100,100.0,0.92,0.9,11316
heur053_n_300_m_39861,100,100.0,0.95,0.7,11324
heur053_n_300_m_39861,100,100.0,0.95,0.9,11323
heur053_n_300_m_39861,100,1000.0,0.92,0.7,11300
heur053_n_300_m_39861,100,1000.0,0.92,0.9,11297
heur053_n_300_m_39861,100,1000.0,0.95,0.7,11307
heur053_n_300_m_39861,100,1000.0,0.95,0.9,11280
heur053_n_300_m_39861,100,10000.0,0.92,0.7,11277
heur053_n_300_m_39861,100,10000.0,0.92,0.9,11286
heur053_n_300_m_39861,100,10000.0,0.95,0.7,11272
heur053_n_300_m_39861,100,10000.0,0.95,0.9,11278
heur054_n_300_m_2746,100,100.0,0.92,0.7,1621
heur054_n_300_m_2746,100,100.0,0.92,0.9,1621
heur054_n_300_m_2746,100,100.0,0.95,0.7,1621
heur054_n_300_m_2746,100,100.0,0.95,0.9,1621
heur054_n_300_m_2746,100,1000.0,0.92,0.7,1620
heur054_n_300_m_2746,100,1000.0,0.92,0.9,1621
heur054_n_300_m_2746,100,1000.0,0.95,0.7,1618
heur054_n_300_m_2746,100,1000.0,0.95,0.9,1621
heur054_n_300_m_2746,100,10000.0,0.92,0.7,1621
heur054_n_300_m_2746,100,10000.0,0.92,0.9,1621
heur054_n_300_m_2746,100,10000.0,0.95,0.7,1621
heur054_n_300_m_2746,100,10000.0,0.95,0.9,1621
heur055_n_300_m_5164,100,100.0,0.92,0.7,4882
heur055_n_300_m_5164,100,100.0,0.92,0.9,4782
heur055_n_300_m_5164,100,100.0,0.95,0.7,4753
heur055_n_300_m_5164,100,100.0,0.95,0.9,4821
heur055_n_300_m_5164,100,1000.0,0.92,0.7,5037
heur055_n_300_m_5164,100,1000.0,0.92,0.9,4735
heur055_n_300_m_5164,100,1000.0,0.95,0.7,5193
heur055_n_300_m_5164,100,1000.0,0.95,0.9,5193
heur055_n_300_m_5164,100,10000.0,0.92,0.7,5193
heur055_n_300_m_5164,100,10000.0,0.92,0.9,4930
heur055_n_300_m_5164,100,10000.0,0.95,0.7,5164
heur055_n_300_m_5164,100,10000.0,0.95,0.9,5193
heur056_n_300_m_12131,100,100.0,0.92,0.7,13055
heur056_n_300_m_12131,100,100.0,0.92,0.9,13422
heur056_n_300_m_12131,100,100.0,0.95,0.7,13567
heur056_n_300_m_12131,100,100.0,0.95,0.9,13462
heur056_n_300_m_12131,100,1000.0,0.92,0.7,13044
