name,epochs,temperature,alpha,gamma,objective
heur040_n_300_m_13358,100,100.0,0.92,0.7,6112
heur040_n_300_m_13358,100,100.0,0.92,0.9,6047
heur040_n_300_m_13358,100,100.0,0.95,0.7,6101
heur040_n_300_m_13358,100,100.0,0.95,0.9,6183
heur040_n_300_m_13358,100,1000.0,0.92,0.7,6429
heur040_n_300_m_13358,100,1000.0,0.92,0.9,6013
heur040_n_300_m_13358,100,1000.0,0.95,0.7,6417
heur040_n_300_m_13358,100,1000.0,0.95,0.9,6395
heur040_n_300_m_13358,100,10000.0,0.92,0.7,6429
heur040_n_300_m_13358,100,10000.0,0.92,0.9,6179
heur040_n_300_m_13358,100,10000.0,0.95,0.7,6379
heur040_n_300_m_13358,100,10000.0,0.95,0.9,6080
heur041_n_300_m_17492,100,100.0,0.92,0.7,7133
heur041_n_300_m_17492,100,100.0,0.92,0.9,7142
heur041_n_300_m_17492,100,100.0,0.95,0.7,6893
heur041_n_300_m_17492,100,100.0,0.95,0.9,6998
heur041_n_300_m_17492,100,1000.0,0.92,0.7,7213
heur041_n_300_m_17492,100,1000.0,0.92,0.9,7146
heur041_n_300_m_17492,100,1000.0,0.95,0.7,7160
heur041_n_300_m_17492,100,1000.0,0.95,0.9,7126
heur041_n_300_m_17492,100,10000.0,0.92,0.7,7213
heur041_n_300_m_17492,100,10000.0,0.92,0.9,7213
heur041_n_300_m_17492,100,10000.0,0.95,0.7,7213
heur041_n_300_m_17492,100,10000.0,0.95,0.9,7213
heur042_n_300_m_5764,100,100.0,0.92,0.7,1427
heur042_n_300_m_5764,100,100.0,0.92,0.9,1482
heur042_n_300_m_5764,100,100.0,0.95,0.7,1474
heur042_n_300_m_5764,100,100.0,0.95,0.9,1436
heur042_n_300_m_5764,100,1000.0,0.92,0.7,1332
heur042_n_300_m_5764,100,1000.0,0.92,0.9,1482
heur042_n_300_m_5764,100,1000.0,0.95,0.7,1480
heur042_n_300_m_5764,100,1000.0,0.95,0.9,1481
heur042_n_300_m_5764,100,10000.0,0.92,0.7,1482
heur042_n_300_m_5764,100,10000.0,0.92,0.9,1482
heur042_n_300_m_5764,100,10000.0,0.95,0.7,1482
heur042_n_300_m_5764,100,10000.0,0.95,0.9,1482
heur043_n_300_m_12914,100,100.0,0.92,0.7,17531
heur043_n_300_m_12914,100,100.0,0.92,0.9,17532
heur043_n_300_m_12914,100,100.0,0.95,0.7,17533
heur043_n_300_m_12914,100,100.0,0.95,0.9,17533
heur043_n_300_m_12914,100,1000.0,0.92,0.7,17533
heur043_n_300_m_12914,100,1000.0,0.92,0.9,17533
heur043_n_300_m_12914,100,1000.0,0.95,0.7,17533
heur043_n_300_m_12914,100,1000.0,0.95,0.9,17533
heur043_n_300_m_12914,100,10000.0,0.92,0.7,17533
heur043_n_300_m_12914,100,10000.0,0.92,0.9,17533
heur043_n_300_m_12914,100,10000.0,0.95,0.7,17533
heur043_n_300_m_12914,100,10000.0,0.95,0.9,17533
heur044_n_300_m_3234,100,100.0,0.92,0.7,3942
heur044_n_300_m_3234,100,100.0,0.92,0.9,3684
heur044_n_300_m_3234,100,100.0,0.95,0.7,3888
heur044_n_300_m_3234,100,100.0,0.95,0.9,3915
heur044_n_300_m_3234,100,1000.0,0.92,0.7,3942
heur044_n_300_m_3234,100,1000.0,0.92,0.9,3942
heur044_n_300_m_3234,100,1000.0,0.95,0.7,3890
heur044_n_300_m_3234,100,1000.0,0.95,0.9,3921
heur044_n_300_m_3234,100,10000.0,0.92,0.7,3942
heur044_n_300_m_3234,100,10000.0,0.92,0.9,3942
heur044_n_300_m_3234,100,10000.0,0.95,0.7,3942
heur044_n_300_m_3234,100,10000.0,0.95,0.9,3894
heur045_n_300_m_6293,100,100.0,0.92,0.7,9504
heur045_n_300_m_6293,100,100.0,0.92,0.9,9504
heur045_n_300_m_6293,100,100.0,0.95,0.7,9457
heur045_n_300_m_6293,100,100.0,0.95,0.9,9504
heur045_n_300_m_6293,100,1000.0,0.92,0.7,9504
heur045_n_300_m_6293,100,1000.0,0.92,0.9,9358
heur045_n_300_m_6293,100,1000.0,0.95,0.7,9504
heur045_n_300_m_6293,100,1000.0,0.95,0.9,9456
heur045_n_300_m_6293,100,10000.0,0.92,0.7,9230
heur045_n_300_m_6293,100,10000.0,0.92,0.9,9504
heur045_n_300_m_6293,100,10000.0,0.95,0.7,9504
heur045_n_300_m_6293,100,10000.0,0.95,0.9,9258
heur046_n_300_m_13150,100,100.0,0.92,0.7,20313
heur046_n_300_m_13150,100,100.0,0.92,0.9,20313
heur046_n_300_m_13150,100,100.0,0.95,0.7,20313
heur046_n_300_m_13150,100,100.0,0.95,0.9,20313
heur046_n_300_m_13150,100,1000.0,0.92,0.7,20313
heur046_n_300_m_13150,100,1000.0,0.92,0.9,20313
heur046_n_300_m_13150,100,1000.0,0.95,0.7,20313
heur046_n_300_m_13150,100,1000.0,0.95,0.9,20313
heur046_n_300_m_13150,100,10000.0,0.92,0.7,20313
heur046_n_300_m_13150,100,10000.0,0.92,0.9,20313
heur046_n_300_m_13150,100,10000.0,0.95,0.7,20313
heur046_n_300_m_13150,100,10000.0,0.95,0.9,20313
heur047_n_300_m_20096,100,100.0,0.92,0.7,25634
heur047_n_300_m_20096,100,100.0,0.92,0.9,26015
heur047_n_300_m_20096,100,100.0,0.95,0.7,25744
heur047_n_300_m_20096,100,100.0,0.95,0.9,25076
heur047_n_300_m_20096,100,1000.0,0.92,0.7,25106
heur047_n_300_m_20096,100,1000.0,0.92,0.9,25728
