name,epochs,temperature,alpha,gamma,objective
heur040_n_300_m_13358,100,100.0,0.92,0.7,6567
heur040_n_300_m_13358,100,100.0,0.92,0.9,6514
heur040_n_300_m_13358,100,100.0,0.95,0.7,6239
heur040_n_300_m_13358,100,100.0,0.95,0.9,6576
heur040_n_300_m_13358,100,1000.0,0.92,0.7,6653
heur040_n_300_m_13358,100,1000.0,0.92,0.9,6653
heur040_n_300_m_13358,100,1000.0,0.95,0.7,6653
heur040_n_300_m_13358,100,1000.0,0.95,0.9,6573
heur040_n_300_m_13358,100,10000.0,0.92,0.7,6567
heur040_n_300_m_13358,100,10000.0,0.92,0.9,6556
heur040_n_300_m_13358,100,10000.0,0.95,0.7,6653
heur040_n_300_m_13358,100,10000.0,0.95,0.9,6288
heur041_n_300_m_17492,100,100.0,0.92,0.7,6934
heur041_n_300_m_17492,100,100.0,0.92,0.9,6943
heur041_n_300_m_17492,100,100.0,0.95,0.7,6856
heur041_n_300_m_17492,100,100.0,0.95,0.9,6860
heur041_n_300_m_17492,100,1000.0,0.92,0.7,7045
heur041_n_300_m_17492,100,1000.0,0.92,0.9,7045
heur041_n_300_m_17492,100,1000.0,0.95,0.7,6867
heur041_n_300_m_17492,100,1000.0,0.95,0.9,7043
heur041_n_300_m_17492,100,10000.0,0.92,0.7,7045
heur041_n_300_m_17492,100,10000.0,0.92,0.9,7045
heur041_n_300_m_17492,100,10000.0,0.95,0.7,6954
heur041_n_300_m_17492,100,10000.0,0.95,0.9,7044
heur042_n_300_m_5764,100,100.0,0.92,0.7,1387
heur042_n_300_m_5764,100,100.0,0.92,0.9,1404
heur042_n_300_m_5764,100,100.0,0.95,0.7,1404
heur042_n_300_m_5764,100,100.0,0.95,0.9,1404
heur042_n_300_m_5764,100,1000.0,0.92,0.7,1404
heur042_n_300_m_5764,100,1000.0,0.92,0.9,1404
heur042_n_300_m_5764,100,1000.0,0.95,0.7,1371
heur042_n_300_m_5764,100,1000.0,0.95,0.9,1379
heur042_n_300_m_5764,100,10000.0,0.92,0.7,1404
heur042_n_300_m_5764,100,10000.0,0.92,0.9,1404
heur042_n_300_m_5764,100,10000.0,0.95,0.7,1386
heur042_n_300_m_5764,100,10000.0,0.95,0.9,1299
heur043_n_300_m_12914,100,100.0,0.92,0.7,17632
heur043_n_300_m_12914,100,100.0,0.92,0.9,17636
heur043_n_300_m_12914,100,100.0,0.95,0.7,17636
heur043_n_300_m_12914,100,100.0,0.95,0.9,17636
heur043_n_300_m_12914,100,1000.0,0.92,0.7,17636
heur043_n_300_m_12914,100,1000.0,0.92,0.9,17636
heur043_n_300_m_12914,100,1000.0,0.95,0.7,17636
heur043_n_300_m_12914,100,1000.0,0.95,0.9,17635
heur043_n_300_m_12914,100,10000.0,0.92,0.7,17636
heur043_n_300_m_12914,100,10000.0,0.92,0.9,17636
heur043_n_300_m_12914,100,10000.0,0.95,0.7,17636
heur043_n_300_m_12914,100,10000.0,0.95,0.9,17636
heur044_n_300_m_3234,100,100.0,0.92,0.7,3905
heur044_n_300_m_3234,100,100.0,0.92,0.9,3905
heur044_n_300_m_3234,100,100.0,0.95,0.7,3850
heur044_n_300_m_3234,100,100.0,0.95,0.9,3661
heur044_n_300_m_3234,100,1000.0,0.92,0.7,3905
heur044_n_300_m_3234,100,1000.0,0.92,0.9,3905
heur044_n_300_m_3234,100,1000.0,0.95,0.7,3865
heur044_n_300_m_3234,100,1000.0,0.95,0.9,3848
heur044_n_300_m_3234,100,10000.0,0.92,0.7,3888
heur044_n_300_m_3234,100,10000.0,0.92,0.9,3905
heur044_n_300_m_3234,100,10000.0,0.95,0.7,3856
heur044_n_300_m_3234,100,10000.0,0.95,0.9,3905
heur045_n_300_m_6293,100,100.0,0.92,0.7,9184
heur045_n_300_m_6293,100,100.0,0.92,0.9,8865
heur045_n_300_m_6293,100,100.0,0.95,0.7,9030
heur045_n_300_m_6293,100,100.0,0.95,0.9,9070
heur045_n_300_m_6293,100,1000.0,0.92,0.7,9220
heur045_n_300_m_6293,100,1000.0,0.92,0.9,9220
heur045_n_300_m_6293,100,1000.0,0.95,0.7,9220
heur045_n_300_m_6293,100,1000.0,0.95,0.9,9009
heur045_n_300_m_6293,100,10000.0,0.92,0.7,9220
heur045_n_300_m_6293,100,10000.0,0.92,0.9,9220
heur045_n_300_m_6293,100,10000.0,0.95,0.7,9220
heur045_n_300_m_6293,100,10000.0,0.95,0.9,9220
heur046_n_300_m_13150,100,100.0,0.92,0.7,20694
heur046_n_300_m_13150,100,100.0,0.92,0.9,20694
heur046_n_300_m_13150,100,100.0,0.95,0.7,20694
heur046_n_300_m_13150,100,100.0,0.95,0.9,20694
heur046_n_300_m_13150,100,1000.0,0.92,0.7,20693
heur046_n_300_m_13150,100,1000.0,0.92,0.9,20694
heur046_n_300_m_13150,100,1000.0,0.95,0.7,20694
heur046_n_300_m_13150,100,1000.0,0.95,0.9,20692
heur046_n_300_m_13150,100,10000.0,0.92,0.7,20694
heur046_n_300_m_13150,100,10000.0,0.92,0.9,20694
heur046_n_300_m_13150,100,10000.0,0.95,0.7,20693
heur046_n_300_m_13150,100,10000.0,0.95,0.9,20694
heur047_n_300_m_20096,100,100.0,0.92,0.7,25803
heur047_n_300_m_20096,100,100.0,0.92,0.9,25213
heur047_n_300_m_20096,100,100.0,0.95,0.7,25408
heur047_n_300_m_20096,100,100.0,0.95,0.9,25911
heur047_n_300_m_20096,100,1000.0,0.92,0.7,25911
heur047_n_300_m_20096,100,1000.0,0.92,0.9,25823
heur047_n_300_m_20096,100,1000.0,0.95,0.7,25911
heur047_n_300_m_20096,100,1000.0,0.95,0.9,25568
