name,epochs,temperature,alpha,gamma,objective
heur040_n_300_m_13358,100,100.0,0.92,0.7,6619
heur040_n_300_m_13358,100,100.0,0.92,0.9,6297
heur040_n_300_m_13358,100,100.0,0.95,0.7,6528
heur040_n_300_m_13358,100,100.0,0.95,0.9,6614
heur040_n_300_m_13358,100,1000.0,0.92,0.7,6619
heur040_n_300_m_13358,100,1000.0,0.92,0.9,6282
heur040_n_300_m_13358,100,1000.0,0.95,0.7,6619
heur040_n_300_m_13358,100,1000.0,0.95,0.9,6619
heur040_n_300_m_13358,100,10000.0,0.92,0.7,6619
heur040_n_300_m_13358,100,10000.0,0.92,0.9,6619
heur040_n_300_m_13358,100,10000.0,0.95,0.7,6303
heur040_n_300_m_13358,100,10000.0,0.95,0.9,6369
heur041_n_300_m_17492,100,100.0,0.92,0.7,6828
heur041_n_300_m_17492,100,100.0,0.92,0.9,6958
heur041_n_300_m_17492,100,100.0,0.95,0.7,6963
heur041_n_300_m_17492,100,100.0,0.95,0.9,6858
heur041_n_300_m_17492,100,1000.0,0.92,0.7,7042
heur041_n_300_m_17492,100,1000.0,0.92,0.9,7042
heur041_n_300_m_17492,100,1000.0,0.95,0.7,7044
heur041_n_300_m_17492,100,1000.0,0.95,0.9,7044
heur041_n_300_m_17492,100,10000.0,0.92,0.7,7044
heur041_n_300_m_17492,100,10000.0,0.92,0.9,7044
heur041_n_300_m_17492,100,10000.0,0.95,0.7,7044
heur041_n_300_m_17492,100,10000.0,0.95,0.9,7044
heur042_n_300_m_5764,100,100.0,0.92,0.7,1561
heur042_n_300_m_5764,100,100.0,0.92,0.9,1546
heur042_n_300_m_5764,100,100.0,0.95,0.7,1561
heur042_n_300_m_5764,100,100.0,0.95,0.9,1456
heur042_n_300_m_5764,100,1000.0,0.92,0.7,1518
heur042_n_300_m_5764,100,1000.0,0.92,0.9,1561
heur042_n_300_m_5764,100,1000.0,0.95,0.7,1454
heur042_n_300_m_5764,100,1000.0,0.95,0.9,1561
heur042_n_300_m_5764,100,10000.0,0.92,0.7,1550
heur042_n_300_m_5764,100,10000.0,0.92,0.9,1561
heur042_n_300_m_5764,100,10000.0,0.95,0.7,1561
heur042_n_300_m_5764,100,10000.0,0.95,0.9,1561
heur043_n_300_m_12914,100,100.0,0.92,0.7,17784
heur043_n_300_m_12914,100,100.0,0.92,0.9,17784
heur043_n_300_m_12914,100,100.0,0.95,0.7,17784
heur043_n_300_m_12914,100,100.0,0.95,0.9,17784
heur043_n_300_m_12914,100,1000.0,0.92,0.7,17784
heur043_n_300_m_12914,100,1000.0,0.92,0.9,17784
heur043_n_300_m_12914,100,1000.0,0.95,0.7,17784
heur043_n_300_m_12914,100,1000.0,0.95,0.9,17784
heur043_n_300_m_12914,100,10000.0,0.92,0.7,17756
heur043_n_300_m_12914,100,10000.0,0.92,0.9,17784
heur043_n_300_m_12914,100,10000.0,0.95,0.7,17784
